"IDalt","Buffer","MeanDist","MedianDist","NumLines","TotalLength_m","Notes"
3163,"20km",17531.5565935727,17316.1305257027,634,795328,"Full group used"
3164,"20km",17718.7453819827,17480.8010232935,706,817458,"Full group used"
3165,"20km",17718.7453819827,17480.8010232935,706,817458,"Full group used"
3166,"20km",17718.7453819827,17480.8010232935,706,817458,"Full group used"
3175,"20km",17087.6383294761,16766.4376218424,733,809708,"Full group used"
3178,"20km",17087.6383294761,16766.4376218424,733,809708,"Full group used"
3180,"20km",17195.29979969,16919.4687610452,697,834470,"Full group used"
3181,"20km",17195.29979969,16919.4687610452,697,834470,"Full group used"
3318,"20km",17121.3617546656,16870.701949842,567,799064,"Full group used"
3319,"20km",17121.3617546656,16870.701949842,567,799064,"Full group used"
3320,"20km",17121.3617546656,16870.701949842,567,799064,"Full group used"
3321,"20km",17587.0346517059,17284.1105514114,656,833978,"Full group used"
3322,"20km",17587.0346517059,17284.1105514114,656,833978,"Full group used"
3323,"20km",17587.0346517059,17284.1105514114,656,833978,"Full group used"
3324,"20km",17587.0346517059,17284.1105514114,656,833978,"Full group used"
3325,"20km",17587.0346517059,17284.1105514114,656,833978,"Full group used"
3387,"20km",17121.3617546656,16870.701949842,567,799064,"Full group used"
3391,"20km",17121.3617546656,16870.701949842,567,799064,"Full group used"
1289,"20km",17839.6337178627,17562.965886504,726,867365,"Full group used"
2331,"20km",17546.7432030388,17364.7252455605,921,1033665,"Full group used"
2351,"20km",17258.1242403924,16848.1101075647,752,903574,"Full group used"
2362,"20km",17825.8752849804,17542.697185527,734,873455,"Full group used"
2379,"20km",17975.0297056526,17724.8310231077,592,925154,"Full group used"
2330,"20km",17098.929867905,16855.7155154923,178,612728,"Full group used"
3182,"20km",17195.29979969,16919.4687610452,697,834470,"Full group used"
3279,"20km",16346.5760195729,15879.0099385194,165,546715,"Full group used"
3280,"20km",16346.5760195729,15879.0099385194,165,546715,"Full group used"
3326,"20km",17359.7986573514,17046.592041,680,897862,"Full group used"
3312,"20km",17895.9487785479,17769.1172751769,224,557758,"Full group used"
3327,"20km",17359.7986573514,17046.592041,680,897862,"Full group used"
3328,"20km",17359.7986573514,17046.592041,680,897862,"Full group used"
3333,"20km",15855.9246349558,15284.3597430733,474,763635,"Full group used"
3334,"20km",15855.9246349558,15284.3597430733,474,763635,"Full group used"
3335,"20km",15855.9246349558,15284.3597430733,474,763635,"Full group used"
3281,"20km",16346.5760195729,15879.0099385194,165,546715,"Full group used"
3282,"20km",16346.5760195729,15879.0099385194,165,546715,"Full group used"
3336,"20km",15855.9246349558,15284.3597430733,474,763635,"Full group used"
3337,"20km",15855.9246349558,15284.3597430733,474,763635,"Full group used"
3409,"20km",16346.5760195729,15879.0099385194,165,546715,"Full group used"
3420,"20km",15855.9246349558,15284.3597430733,474,763635,"Full group used"
3451,"20km",16864.0804868744,16540.0631403675,661,886179,"Full group used"
3452,"20km",16346.5760195729,15879.0099385194,165,546715,"Full group used"
3466,"20km",16878.487766982,16691.2744466622,174,607586,"Full group used"
3171,"20km",17450.2183817556,17101.4453598294,614,791742,"Full group used"
3172,"20km",17450.2183817556,17101.4453598294,614,791742,"Full group used"
3173,"20km",17450.2183817556,17101.4453598294,614,791742,"Full group used"
3174,"20km",17450.2183817556,17101.4453598294,614,791742,"Full group used"
3179,"20km",17195.29979969,16919.4687610452,697,834470,"Full group used"
3199,"20km",17282.9554931526,17062.2279865212,598,746773,"Full group used"
3200,"20km",17282.9554931526,17062.2279865212,598,746773,"Full group used"
3201,"20km",17282.9554931526,17062.2279865212,598,746773,"Full group used"
3202,"20km",15674.7582787034,15293.1073704923,551,760949,"Full group used"
3203,"20km",15674.7582787034,15293.1073704923,551,760949,"Full group used"
3204,"20km",15674.7582787034,15293.1073704923,551,760949,"Full group used"
3205,"20km",15674.7582787034,15293.1073704923,551,760949,"Full group used"
3206,"20km",16653.4814981784,16377.4177648784,570,773420,"Full group used"
3207,"20km",16653.4814981784,16377.4177648784,570,773420,"Full group used"
3208,"20km",16653.4814981784,16377.4177648784,570,773420,"Full group used"
3209,"20km",16653.4814981784,16377.4177648784,570,773420,"Full group used"
3386,"20km",17282.9554931526,17062.2279865212,598,746773,"Full group used"
3460,"20km",15674.7582787034,15293.1073704923,551,760949,"Full group used"
3461,"20km",15674.7582787034,15293.1073704923,551,760949,"Full group used"
3462,"20km",17195.29979969,16919.4687610452,697,834470,"Full group used"
3273,"20km",17720.0630486035,17862.0970468389,281,653095,"Full group used"
3274,"20km",17720.0630486035,17862.0970468389,281,653095,"Full group used"
3275,"20km",17720.0630486035,17862.0970468389,281,653095,"Full group used"
3283,"20km",16303.6929669517,16047.9869462947,184,616456,"Full group used"
3284,"20km",16303.6929669517,16047.9869462947,184,616456,"Full group used"
3285,"20km",16303.6929669517,16047.9869462947,184,616456,"Full group used"
3286,"20km",16303.6929669517,16047.9869462947,184,616456,"Full group used"
3287,"20km",17227.825854496,17098.0807340768,263,599306,"Full group used"
3288,"20km",17227.825854496,17098.0807340768,263,599306,"Full group used"
3402,"20km",17227.825854496,17098.0807340768,263,599306,"Full group used"
3425,"20km",15876.5617047824,15270.8793333365,323,620762,"Full group used"
3427,"20km",15876.5617047824,15270.8793333365,323,620762,"Full group used"
3431,"20km",17720.0630486035,17862.0970468389,281,653095,"Full group used"
3458,"20km",16303.6929669517,16047.9869462947,184,616456,"Full group used"
3459,"20km",16303.6929669517,16047.9869462947,184,616456,"Full group used"
3467,"20km",16590.6842717758,16194.4809402388,604,877374,"Full group used"
3476,"20km",16471.5391318467,16168.7491606363,572,882898,"Full group used"
3482,"20km",16420.7961220871,16125.8358545006,212,637801,"Full group used"
3198,"20km",16956.3224345423,17266.9163713424,128,413745,"Full group used"
3230,"20km",15917.6974220443,15303.607966313,310,602166,"Full group used"
3231,"20km",15917.6974220443,15303.607966313,310,602166,"Full group used"
